Model,Puzzles Games,Spatial,Recognition,Multi,Diagrams,Geo,Academic,Memes,Overall
gemini-3-pro-preview,44.7 ± 5.0,47.1 ± 2.5,75.4 ± 3.1,70.8 ± 3.6,77.6 ± 2.8,71.9 ± 3.5,80.4 ± 1.2,86.7 ± 4.1,69.4 ± 0.9
gemini-2.5-pro,37.9 ± 8.2,42.1 ± 1.2,59.1 ± 5.0,51.7 ± 5.0,65.1 ± 3.1,70.2 ± 2.7,77.7 ± 2.9,82.5 ± 4.9,61.2 ± 0.4
gpt-5-medium,40.9 ± 3.4,42.1 ± 2.4,49.2 ± 6.2,66.7 ± 4.1,55.1 ± 1.3,73.0 ± 5.1,71.6 ± 4.5,81.7 ± 1.7,60.2 ± 1.3
gpt-5-high,44.7 ± 3.3,42.1 ± 5.8,48.9 ± 4.7,62.5 ± 2.8,59.6 ± 3.3,69.0 ± 0.9,68.9 ± 2.3,82.5 ± 4.3,59.9 ± 1.4
gpt-5-low,35.6 ± 2.5,34.3 ± 5.3,52.3 ± 3.3,58.3 ± 3.7,60.3 ± 2.2,70.2 ± 2.9,71.6 ± 2.3,80.0 ± 4.1,58.1 ± 0.8
o3-medium,34.8 ± 5.0,40.7 ± 1.2,52.3 ± 2.5,65.0 ± 5.0,47.4 ± 3.8,67.0 ± 1.6,68.2 ± 4.0,75.8 ± 2.8,56.4 ± 2.0
o3-high,37.9 ± 2.6,39.3 ± 4.7,48.5 ± 6.2,60.0 ± 3.3,52.6 ± 5.9,67.5 ± 1.8,65.5 ± 5.5,77.5 ± 4.3,56.2 ± 1.8
o3-low,32.6 ± 5.8,37.9 ± 3.1,52.3 ± 1.3,61.7 ± 2.9,52.6 ± 2.9,66.5 ± 3.3,63.5 ± 5.9,76.7 ± 2.4,55.5 ± 1.1
seed-1-6-vision,40.2 ± 2.5,40.0 ± 3.5,37.9 ± 2.6,58.3 ± 5.0,54.5 ± 2.8,64.5 ± 1.5,62.8 ± 1.2,60.0 ± 5.8,52.7 ± 1.1
gpt-5-mini-medium,39.4 ± 0.0,32.9 ± 7.1,46.2 ± 5.8,46.7 ± 5.3,52.6 ± 4.3,52.8 ± 2.8,69.6 ± 3.5,72.5 ± 2.8,51.6 ± 2.2
o4-mini-high,40.9 ± 4.5,37.9 ± 3.1,39.4 ± 1.5,51.7 ± 3.7,48.7 ± 3.6,54.0 ± 3.6,64.2 ± 1.2,77.5 ± 2.8,51.6 ± 0.8
